,LOCATION_circulation,ADDRESS_circulation,CITY_circulation,ZIP,JANUARY_circulation,FEBRUARY_circulation,MARCH_circulation,APRIL_circulation,MAY_circulation,JUNE_circulation,JULY_circulation,AUGUST_circulation,SEPTEMBER_circulation,OCTOBER_circulation,NOVEMBER_circulation,DECEMBER_circulation,YTD_circulation,LOCATION_visitors,ADDRESS_visitors,CITY_visitors,JANUARY_visitors,FEBRUARY_visitors,MARCH_visitors,APRIL_visitors,MAY_visitors,JUNE_visitors,JULY_visitors,AUGUST_visitors,SEPTEMBER_visitors,OCTOBER_visitors,NOVEMBER_visitors,DECEMBER_visitors,YTD_visitors
18,Dunning,7455 W. Cornelia Ave.,Chicago,60634,4058,4305,4361,4329,3820,3835,4769,4348,4261,3534,3443,3183,48246,Austin-Irving,6100 W. Irving Park Rd.,Chicago,8003.0,8879.0,9627.0,8853.0,9172.0,9897.0,10441.0,10110.0,9031.0,10054.0,8060.0,6953.0,109080.0
19,Dunning,7455 W. Cornelia Ave.,Chicago,60634,4058,4305,4361,4329,3820,3835,4769,4348,4261,3534,3443,3183,48246,Dunning,7455 W. Cornelia Ave.,Chicago,7777.0,8684.0,8650.0,8425.0,9254.0,9519.0,10353.0,9049.0,10065.0,8865.0,6802.0,6816.0,104259.0
20,Dunning,7455 W. Cornelia Ave.,Chicago,60634,4058,4305,4361,4329,3820,3835,4769,4348,4261,3534,3443,3183,48246,West Chicago Avenue,4856 W. Chicago Ave.,Chicago,5513.0,5723.0,6113.0,5361.0,5921.0,1505.0,7290.0,7584.0,7329.0,8804.0,6452.0,6109.0,73704.0
21,West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60634,827,767,684,756,851,228,845,731,802,1031,704,586,8812,Austin-Irving,6100 W. Irving Park Rd.,Chicago,8003.0,8879.0,9627.0,8853.0,9172.0,9897.0,10441.0,10110.0,9031.0,10054.0,8060.0,6953.0,109080.0
22,West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60634,827,767,684,756,851,228,845,731,802,1031,704,586,8812,Dunning,7455 W. Cornelia Ave.,Chicago,7777.0,8684.0,8650.0,8425.0,9254.0,9519.0,10353.0,9049.0,10065.0,8865.0,6802.0,6816.0,104259.0
23,West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60634,827,767,684,756,851,228,845,731,802,1031,704,586,8812,West Chicago Avenue,4856 W. Chicago Ave.,Chicago,5513.0,5723.0,6113.0,5361.0,5921.0,1505.0,7290.0,7584.0,7329.0,8804.0,6452.0,6109.0,73704.0
24,Avalon,8148 S. Stony Island Ave.,Chicago,60617,2910,2836,3086,3152,2942,3279,3460,3538,2910,3128,2585,2654,36480,Avalon,8148 S. Stony Island Ave.,Chicago,7925.0,8093.0,8748.0,11392.0,8896.0,7870.0,9318.0,9045.0,8389.0,10385.0,7523.0,7078.0,104662.0
25,Avalon,8148 S. Stony Island Ave.,Chicago,60617,2910,2836,3086,3152,2942,3279,3460,3538,2910,3128,2585,2654,36480,Jeffery Manor,2401 E. 100th St.,Chicago,4733.0,6392.0,5537.0,5750.0,5473.0,5423.0,4722.0,4233.0,4210.0,4508.0,3242.0,3259.0,57482.0
26,Avalon,8148 S. Stony Island Ave.,Chicago,60617,2910,2836,3086,3152,2942,3279,3460,3538,2910,3128,2585,2654,36480,South Chicago,9055 S. Houston Ave.,Chicago,6062.0,6279.0,7879.0,6299.0,6810.0,6856.0,6928.0,7793.0,7794.0,7790.0,6574.0,6029.0,83093.0
27,Avalon,8148 S. Stony Island Ave.,Chicago,60617,2910,2836,3086,3152,2942,3279,3460,3538,2910,3128,2585,2654,36480,Vodak-East Side,3710 E. 106th St.,Chicago,4782.0,5306.0,5703.0,4964.0,4831.0,4973.0,6037.0,4992.0,4643.0,6519.0,4837.0,2900.0,60487.0
28,Jeffery Manor,2401 E. 100th St.,Chicago,60617,632,603,632,659,503,649,791,951,927,1041,729,657,8774,Avalon,8148 S. Stony Island Ave.,Chicago,7925.0,8093.0,8748.0,11392.0,8896.0,7870.0,9318.0,9045.0,8389.0,10385.0,7523.0,7078.0,104662.0
29,Jeffery Manor,2401 E. 100th St.,Chicago,60617,632,603,632,659,503,649,791,951,927,1041,729,657,8774,Jeffery Manor,2401 E. 100th St.,Chicago,4733.0,6392.0,5537.0,5750.0,5473.0,5423.0,4722.0,4233.0,4210.0,4508.0,3242.0,3259.0,57482.0
30,Jeffery Manor,2401 E. 100th St.,Chicago,60617,632,603,632,659,503,649,791,951,927,1041,729,657,8774,South Chicago,9055 S. Houston Ave.,Chicago,6062.0,6279.0,7879.0,6299.0,6810.0,6856.0,6928.0,7793.0,7794.0,7790.0,6574.0,6029.0,83093.0
31,Jeffery Manor,2401 E. 100th St.,Chicago,60617,632,603,632,659,503,649,791,951,927,1041,729,657,8774,Vodak-East Side,3710 E. 106th St.,Chicago,4782.0,5306.0,5703.0,4964.0,4831.0,4973.0,6037.0,4992.0,4643.0,6519.0,4837.0,2900.0,60487.0
32,South Chicago,9055 S. Houston Ave.,Chicago,60617,1375,1548,1480,1677,1541,1601,1612,1614,1641,1790,1484,1336,18699,Avalon,8148 S. Stony Island Ave.,Chicago,7925.0,8093.0,8748.0,11392.0,8896.0,7870.0,9318.0,9045.0,8389.0,10385.0,7523.0,7078.0,104662.0
33,South Chicago,9055 S. Houston Ave.,Chicago,60617,1375,1548,1480,1677,1541,1601,1612,1614,1641,1790,1484,1336,18699,Jeffery Manor,2401 E. 100th St.,Chicago,4733.0,6392.0,5537.0,5750.0,5473.0,5423.0,4722.0,4233.0,4210.0,4508.0,3242.0,3259.0,57482.0
34,South Chicago,9055 S. Houston Ave.,Chicago,60617,1375,1548,1480,1677,1541,1601,1612,1614,1641,1790,1484,1336,18699,South Chicago,9055 S. Houston Ave.,Chicago,6062.0,6279.0,7879.0,6299.0,6810.0,6856.0,6928.0,7793.0,7794.0,7790.0,6574.0,6029.0,83093.0
35,South Chicago,9055 S. Houston Ave.,Chicago,60617,1375,1548,1480,1677,1541,1601,1612,1614,1641,1790,1484,1336,18699,Vodak-East Side,3710 E. 106th St.,Chicago,4782.0,5306.0,5703.0,4964.0,4831.0,4973.0,6037.0,4992.0,4643.0,6519.0,4837.0,2900.0,60487.0
36,Vodak-East Side,3710 E. 106th St.,Chicago,60617,2715,2577,2948,2581,2480,2536,2907,2621,2293,2911,2254,1208,30031,Avalon,8148 S. Stony Island Ave.,Chicago,7925.0,8093.0,8748.0,11392.0,8896.0,7870.0,9318.0,9045.0,8389.0,10385.0,7523.0,7078.0,104662.0
37,Vodak-East Side,3710 E. 106th St.,Chicago,60617,2715,2577,2948,2581,2480,2536,2907,2621,2293,2911,2254,1208,30031,Jeffery Manor,2401 E. 100th St.,Chicago,4733.0,6392.0,5537.0,5750.0,5473.0,5423.0,4722.0,4233.0,4210.0,4508.0,3242.0,3259.0,57482.0
38,Vodak-East Side,3710 E. 106th St.,Chicago,60617,2715,2577,2948,2581,2480,2536,2907,2621,2293,2911,2254,1208,30031,South Chicago,9055 S. Houston Ave.,Chicago,6062.0,6279.0,7879.0,6299.0,6810.0,6856.0,6928.0,7793.0,7794.0,7790.0,6574.0,6029.0,83093.0
