,LOCATION_circulation,ADDRESS_circulation,CITY_circulation,ZIP,JANUARY_circulation,FEBRUARY_circulation,MARCH_circulation,APRIL_circulation,MAY_circulation,JUNE_circulation,JULY_circulation,AUGUST_circulation,SEPTEMBER_circulation,OCTOBER_circulation,NOVEMBER_circulation,DECEMBER_circulation,YTD_circulation,LOCATION_visitors,ADDRESS_visitors,CITY_visitors,JANUARY_visitors,FEBRUARY_visitors,MARCH_visitors,APRIL_visitors,MAY_visitors,JUNE_visitors,JULY_visitors,AUGUST_visitors,SEPTEMBER_visitors,OCTOBER_visitors,NOVEMBER_visitors,DECEMBER_visitors,YTD_visitors
84,Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,8642,8309,9764,8341,8659,9859,10344,10569,9277,9444,8693,7519,109420,Humboldt Park,1605 N. Troy St.,Chicago,5224.0,9661.0,7993.0,7773.0,6737.0,6220.0,6957.0,6630.0,5617.0,6141.0,5104.0,4489.0,78546.0
85,Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,8642,8309,9764,8341,8659,9859,10344,10569,9277,9444,8693,7519,109420,Logan Square,3030 W. Fullerton Ave.,Chicago,10787.0,11189.0,12731.0,13085.0,12085.0,13409.0,15385.0,14070.0,12177.0,13592.0,11271.0,10749.0,150530.0
86,Humboldt Park,1605 N. Troy St.,Chicago,60647,5075,4464,5367,4966,4348,4526,5304,4890,4473,4897,4345,3914,56569,Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,10961.0,10580.0,13487.0,10603.0,8590.0,10533.0,11950.0,11519.0,9416.0,10659.0,10384.0,9460.0,128142.0
87,Humboldt Park,1605 N. Troy St.,Chicago,60647,5075,4464,5367,4966,4348,4526,5304,4890,4473,4897,4345,3914,56569,Humboldt Park,1605 N. Troy St.,Chicago,5224.0,9661.0,7993.0,7773.0,6737.0,6220.0,6957.0,6630.0,5617.0,6141.0,5104.0,4489.0,78546.0
88,Humboldt Park,1605 N. Troy St.,Chicago,60647,5075,4464,5367,4966,4348,4526,5304,4890,4473,4897,4345,3914,56569,Logan Square,3030 W. Fullerton Ave.,Chicago,10787.0,11189.0,12731.0,13085.0,12085.0,13409.0,15385.0,14070.0,12177.0,13592.0,11271.0,10749.0,150530.0
89,Logan Square,3030 W. Fullerton Ave.,Chicago,60647,10828,9873,11488,10770,11114,10870,12661,12090,10834,11858,10353,9206,131945,Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,10961.0,10580.0,13487.0,10603.0,8590.0,10533.0,11950.0,11519.0,9416.0,10659.0,10384.0,9460.0,128142.0
90,Logan Square,3030 W. Fullerton Ave.,Chicago,60647,10828,9873,11488,10770,11114,10870,12661,12090,10834,11858,10353,9206,131945,Humboldt Park,1605 N. Troy St.,Chicago,5224.0,9661.0,7993.0,7773.0,6737.0,6220.0,6957.0,6630.0,5617.0,6141.0,5104.0,4489.0,78546.0
91,Logan Square,3030 W. Fullerton Ave.,Chicago,60647,10828,9873,11488,10770,11114,10870,12661,12090,10834,11858,10353,9206,131945,Logan Square,3030 W. Fullerton Ave.,Chicago,10787.0,11189.0,12731.0,13085.0,12085.0,13409.0,15385.0,14070.0,12177.0,13592.0,11271.0,10749.0,150530.0
92,Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,8892,8935,9106,8191,7487,7449,8624,8233,7203,7790,7191,6498,95599,Budlong Woods,5630 N. Lincoln Ave.,Chicago,9917.0,11174.0,11358.0,10868.0,9672.0,10735.0,11979.0,11038.0,9372.0,10725.0,9318.0,8893.0,125049.0
93,Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,2521,2415,2883,3005,2712,2618,3362,3220,2381,4,1624,1901,28646,Chicago Lawn,6120 S. Kedzie Ave.,Chicago,5247.0,6273.0,5315.0,5792.0,5304.0,6077.0,7165.0,8598.0,4600.0,0.0,0.0,0.0,54371.0
94,Chinatown,2100 S. Wentworth Ave.,Chicago,60616,8235,7775,9347,8221,8037,8501,8711,9063,7789,7748,7175,6707,97309,Chinatown,2100 S. Wentworth Ave.,Chicago,16716.0,21237.0,24670.0,22875.0,23898.0,22703.0,24518.0,26210.0,22446.0,24910.0,21183.0,20148.0,271514.0
95,Chinatown,2100 S. Wentworth Ave.,Chicago,60616,8235,7775,9347,8221,8037,8501,8711,9063,7789,7748,7175,6707,97309,King,3436 S. King Dr.,Chicago,3695.0,4217.0,3618.0,3429.0,2261.0,2438.0,2503.0,2578.0,2107.0,2298.0,3362.0,2684.0,35190.0
96,King,3436 S. King Dr.,Chicago,60616,1713,1464,1733,1679,1598,1813,1804,1703,1891,2171,1985,1757,21311,Chinatown,2100 S. Wentworth Ave.,Chicago,16716.0,21237.0,24670.0,22875.0,23898.0,22703.0,24518.0,26210.0,22446.0,24910.0,21183.0,20148.0,271514.0
97,King,3436 S. King Dr.,Chicago,60616,1713,1464,1733,1679,1598,1813,1804,1703,1891,2171,1985,1757,21311,King,3436 S. King Dr.,Chicago,3695.0,4217.0,3618.0,3429.0,2261.0,2438.0,2503.0,2578.0,2107.0,2298.0,3362.0,2684.0,35190.0
98,Clearing,6423 W. 63rd Pl.,Chicago,60638,2534,2530,2557,2565,2800,2628,3158,3106,2594,588,958,1941,27959,Clearing,6423 W. 63rd Pl.,Chicago,4283.0,5259.0,5385.0,5196.0,4787.0,4777.0,6062.0,5700.0,4742.0,185.0,1552.0,3740.0,51668.0
99,Clearing,6423 W. 63rd Pl.,Chicago,60638,2534,2530,2557,2565,2800,2628,3158,3106,2594,588,958,1941,27959,Garfield Ridge,6348 S. Archer Ave.,Chicago,4500.0,4904.0,5803.0,5559.0,5099.0,5850.0,7855.0,6865.0,5307.0,7239.0,6105.0,5042.0,70128.0
100,Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,4409,4318,4643,4517,4164,4622,5448,4765,3661,5170,4220,3250,53187,Clearing,6423 W. 63rd Pl.,Chicago,4283.0,5259.0,5385.0,5196.0,4787.0,4777.0,6062.0,5700.0,4742.0,185.0,1552.0,3740.0,51668.0
101,Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,4409,4318,4643,4517,4164,4622,5448,4765,3661,5170,4220,3250,53187,Garfield Ridge,6348 S. Archer Ave.,Chicago,4500.0,4904.0,5803.0,5559.0,5099.0,5850.0,7855.0,6865.0,5307.0,7239.0,6105.0,5042.0,70128.0
102,Coleman,731 E. 63rd St.,Chicago,60637,2291,2446,2394,2464,2153,2517,2374,2244,26,1034,1675,1588,23206,Coleman,731 E. 63rd St.,Chicago,6123.0,6834.0,6745.0,7398.0,6891.0,6603.0,8386.0,7985.0,0.0,4517.0,6031.0,6884.0,74397.0
103,"Daley, Richard J.",3400 S. Halsted St.,Chicago,60608,5280,4497,5730,5508,5332,5140,5897,5438,4696,5175,5016,3980,61689,"Daley, Richard J.",3400 S. Halsted St.,Chicago,4550.0,4650.0,5042.0,5536.0,5059.0,4988.0,5952.0,5590.0,4853.0,5618.0,4720.0,4105.0,60663.0
104,"Daley, Richard J.",3400 S. Halsted St.,Chicago,60608,5280,4497,5730,5508,5332,5140,5897,5438,4696,5175,5016,3980,61689,Lozano,1805 S. Loomis St.,Chicago,10057.0,9935.0,10745.0,12061.0,9690.0,9632.0,10214.0,10118.0,9436.0,11858.0,10613.0,9009.0,123368.0
105,Lozano,1805 S. Loomis St.,Chicago,60608,3781,3346,3974,3237,2960,3189,3781,4139,3516,3952,3273,2963,42111,"Daley, Richard J.",3400 S. Halsted St.,Chicago,4550.0,4650.0,5042.0,5536.0,5059.0,4988.0,5952.0,5590.0,4853.0,5618.0,4720.0,4105.0,60663.0
106,Lozano,1805 S. Loomis St.,Chicago,60608,3781,3346,3974,3237,2960,3189,3781,4139,3516,3952,3273,2963,42111,Lozano,1805 S. Loomis St.,Chicago,10057.0,9935.0,10745.0,12061.0,9690.0,9632.0,10214.0,10118.0,9436.0,11858.0,10613.0,9009.0,123368.0
107,"Daley, Richard M.",733 N. Kedzie Ave.,Chicago,60612,2492,2471,2734,2525,2348,2471,2453,2302,2753,3317,2655,2493,31014,"Daley, Richard M.",733 N. Kedzie Ave.,Chicago,9216.0,10480.0,10319.0,9572.0,8927.0,8959.0,9283.0,11059.0,8526.0,9535.0,8850.0,11435.0,116161.0
108,"Daley, Richard M.",733 N. Kedzie Ave.,Chicago,60612,2492,2471,2734,2525,2348,2471,2453,2302,2753,3317,2655,2493,31014,Manning,6 S. Hoyne Ave.,Chicago,7361.0,7085.0,7814.0,7168.0,6320.0,6161.0,6978.0,6639.0,5923.0,8186.0,7512.0,7011.0,84158.0
109,Manning,6 S. Hoyne Ave.,Chicago,60612,1730,1729,1758,1898,1716,1705,2130,2269,1877,2116,1800,1490,22218,"Daley, Richard M.",733 N. Kedzie Ave.,Chicago,9216.0,10480.0,10319.0,9572.0,8927.0,8959.0,9283.0,11059.0,8526.0,9535.0,8850.0,11435.0,116161.0
110,Manning,6 S. Hoyne Ave.,Chicago,60612,1730,1729,1758,1898,1716,1705,2130,2269,1877,2116,1800,1490,22218,Manning,6 S. Hoyne Ave.,Chicago,7361.0,7085.0,7814.0,7168.0,6320.0,6161.0,6978.0,6639.0,5923.0,8186.0,7512.0,7011.0,84158.0
111,Douglass,3353 W. 13th St.,Chicago,60623,0,0,4,0,0,0,0,0,0,2,423,821,1250,Douglass,3353 W. 13th St.,Chicago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Douglass,3353 W. 13th St.,Chicago,60623,0,0,4,0,0,0,0,0,0,2,423,821,1250,Little Village,2311 S. Kedzie Ave.,Chicago,6716.0,7025.0,7467.0,7492.0,6809.0,5966.0,8116.0,7093.0,5779.0,7695.0,5774.0,4757.0,80689.0
113,Douglass,3353 W. 13th St.,Chicago,60623,0,0,4,0,0,0,0,0,0,2,423,821,1250,Toman,2708 S. Pulaski Rd.,Chicago,6426.0,6954.0,7849.0,8025.0,6567.0,7071.0,10676.0,9234.0,7270.0,9047.0,5027.0,4428.0,88574.0
114,Little Village,2311 S. Kedzie Ave.,Chicago,60623,2973,3106,3354,3732,3139,3348,3633,3547,3385,3790,2799,2474,39280,Douglass,3353 W. 13th St.,Chicago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Little Village,2311 S. Kedzie Ave.,Chicago,60623,2973,3106,3354,3732,3139,3348,3633,3547,3385,3790,2799,2474,39280,Little Village,2311 S. Kedzie Ave.,Chicago,6716.0,7025.0,7467.0,7492.0,6809.0,5966.0,8116.0,7093.0,5779.0,7695.0,5774.0,4757.0,80689.0
116,Little Village,2311 S. Kedzie Ave.,Chicago,60623,2973,3106,3354,3732,3139,3348,3633,3547,3385,3790,2799,2474,39280,Toman,2708 S. Pulaski Rd.,Chicago,6426.0,6954.0,7849.0,8025.0,6567.0,7071.0,10676.0,9234.0,7270.0,9047.0,5027.0,4428.0,88574.0
117,Toman,2708 S. Pulaski Rd.,Chicago,60623,4427,4176,4282,4473,3687,3752,4700,3840,4213,4874,3991,3612,50027,Douglass,3353 W. 13th St.,Chicago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Toman,2708 S. Pulaski Rd.,Chicago,60623,4427,4176,4282,4473,3687,3752,4700,3840,4213,4874,3991,3612,50027,Little Village,2311 S. Kedzie Ave.,Chicago,6716.0,7025.0,7467.0,7492.0,6809.0,5966.0,8116.0,7093.0,5779.0,7695.0,5774.0,4757.0,80689.0
119,Toman,2708 S. Pulaski Rd.,Chicago,60623,4427,4176,4282,4473,3687,3752,4700,3840,4213,4874,3991,3612,50027,Toman,2708 S. Pulaski Rd.,Chicago,6426.0,6954.0,7849.0,8025.0,6567.0,7071.0,10676.0,9234.0,7270.0,9047.0,5027.0,4428.0,88574.0
120,Edgebrook,5331 W. Devon Ave.,Chicago,60646,8719,8489,9174,8587,8264,9335,10893,10515,8092,8733,7434,6568,104803,Edgebrook,5331 W. Devon Ave.,Chicago,7241.0,8130.0,8517.0,8361.0,7260.0,8955.0,9688.0,9171.0,7282.0,8610.0,7074.0,6716.0,97005.0
121,Edgewater,6000 N. Broadway St.,Chicago,60660,14294,13730,14560,14545,13342,14701,16253,16822,13737,14577,13183,11655,171399,Edgewater,6000 N. Broadway St.,Chicago,11504.0,17381.0,19171.0,20253.0,15847.0,16459.0,18370.0,17216.0,15906.0,17014.0,14596.0,13328.0,197045.0
122,Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707,749,640,856,760,783,826,856,741,923,816,649,557,9156,Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,1597.0,1444.0,1725.0,2061.0,1722.0,1923.0,3067.0,1882.0,1510.0,1596.0,1129.0,807.0,20463.0
123,Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,1087,1054,1424,1267,1409,1463,2066,1605,1984,1556,1220,1129,17264,Greater Grand Crossing,1000 E. 73rd St.,Chicago,4541.0,6664.0,7689.0,7662.0,7828.0,6828.0,4125.0,3715.0,6132.0,4111.0,4940.0,5763.0,69998.0
124,Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,1087,1054,1424,1267,1409,1463,2066,1605,1984,1556,1220,1129,17264,"Whitney M. Young, Jr.",415 East 79th St.,Chicago,6599.0,6897.0,5449.0,6937.0,6943.0,6596.0,7538.0,6312.0,7118.0,7608.0,6857.0,7169.0,82023.0
125,"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,763,1496,2003,1911,1879,1997,2126,1914,1861,2288,2089,1646,21973,Greater Grand Crossing,1000 E. 73rd St.,Chicago,4541.0,6664.0,7689.0,7662.0,7828.0,6828.0,4125.0,3715.0,6132.0,4111.0,4940.0,5763.0,69998.0
126,"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,763,1496,2003,1911,1879,1997,2126,1914,1861,2288,2089,1646,21973,"Whitney M. Young, Jr.",415 East 79th St.,Chicago,6599.0,6897.0,5449.0,6937.0,6943.0,6596.0,7538.0,6312.0,7118.0,7608.0,6857.0,7169.0,82023.0
127,HAROLD WASHINGTON LIBRARY CENTER,400 S. State Street,CHICAGO,60605,48072,46112,52568,49554,48041,47580,51624,52012,48078,50636,44604,42270,581151,Harold Washtington Library Center,400 S. State St.,Chicago,103099.0,103013.0,121131.0,130849.0,114792.0,116673.0,119738.0,116332.0,107200.0,128546.0,102895.0,141696.0,1405964.0
128,Hegewisch,3048 E. 130th St.,Chicago,60633,1688,1573,1733,1509,1347,1566,1805,1495,1340,1840,1554,1602,19052,Hegewisch,3048 E. 130th St.,Chicago,3316.0,3462.0,3985.0,3766.0,3153.0,2999.0,3147.0,2971.0,2941.0,3366.0,2956.0,2685.0,38747.0
129,Independence,4024 N. Elston Ave.,Chicago,60618,2293,6993,8700,7706,6668,8554,9449,9876,7103,8396,7125,5592,88455,Independence,4024 N. Elston Ave.,Chicago,1370.0,6593.0,7220.0,6917.0,5745.0,7940.0,7363.0,7810.0,6034.0,6929.0,6349.0,4782.0,75052.0
130,Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,4148,94,0,0,0,0,0,0,0,9,2642,4913,11806,Jefferson Park,5363 W. Lawrence Ave.,Chicago,3918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,6108.0
131,Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,4148,94,0,0,0,0,0,0,0,9,2642,4913,11806,Mayfair,4400 W. Lawrence Ave.,Chicago,3625.0,4111.0,4350.0,4369.0,3606.0,3835.0,3371.0,4187.0,3903.0,4320.0,3900.0,3570.0,47147.0
132,Mayfair,4400 W. Lawrence Ave.,Chicago,60630,4283,3826,4475,3935,3606,4006,4444,4403,3873,4068,3270,2713,46902,Jefferson Park,5363 W. Lawrence Ave.,Chicago,3918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,6108.0
133,Mayfair,4400 W. Lawrence Ave.,Chicago,60630,4283,3826,4475,3935,3606,4006,4444,4403,3873,4068,3270,2713,46902,Mayfair,4400 W. Lawrence Ave.,Chicago,3625.0,4111.0,4350.0,4369.0,3606.0,3835.0,3371.0,4187.0,3903.0,4320.0,3900.0,3570.0,47147.0
134,Kelly,6151 S. Normal Blvd.,Chicago,60621,1048,730,711,847,906,1070,1235,1117,932,862,825,833,11116,Kelly,6151 S. Normal Blvd.,Chicago,4435.0,4047.0,4547.0,4983.0,5075.0,5598.0,7550.0,6978.0,5805.0,6778.0,4742.0,4809.0,65347.0
135,Legler Regional,115 S. Pulaski Rd.,Chicago,60624,769,767,701,723,1039,928,1240,1281,1045,79,0,0,8572,Legler Regional,115 S. Pulaski Rd.,Chicago,6386.0,6630.0,7195.0,6949.0,7489.0,4550.0,11452.0,11899.0,9477.0,0.0,0.0,0.0,72027.0
136,Lincoln Belmont,1659 W. Melrose St.,Chicago,60657,11587,11718,15218,14150,13897,14997,16318,16522,13504,15803,13617,11315,168646,Lincoln Belmont,1659 W. Melrose St.,Chicago,11415.0,11059.0,13860.0,13440.0,12697.0,13591.0,15408.0,14672.0,12394.0,14886.0,12402.0,10364.0,156188.0
137,Lincoln Belmont,1659 W. Melrose St.,Chicago,60657,11587,11718,15218,14150,13897,14997,16318,16522,13504,15803,13617,11315,168646,Merlo,644 W. Belmont Ave.,Chicago,8108.0,11525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19633.0
138,Merlo,644 W. Belmont Ave.,Chicago,60657,8053,6583,1,0,0,0,0,0,0,0,0,0,14637,Lincoln Belmont,1659 W. Melrose St.,Chicago,11415.0,11059.0,13860.0,13440.0,12697.0,13591.0,15408.0,14672.0,12394.0,14886.0,12402.0,10364.0,156188.0
139,Merlo,644 W. Belmont Ave.,Chicago,60657,8053,6583,1,0,0,0,0,0,0,0,0,0,14637,Merlo,644 W. Belmont Ave.,Chicago,8108.0,11525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19633.0
140,Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,9826,9336,11605,10534,10314,11653,12704,12758,11161,12329,11050,10067,133337,Lincoln Park,1150 W. Fullerton Ave.,Chicago,9854.0,13476.0,14077.0,11767.0,9822.0,10961.0,12604.0,11804.0,10455.0,11912.0,10723.0,9969.0,137424.0
141,Little Italy,1336 W. Taylor St.,Chicago,60607,1088,3975,6130,5485,5717,6177,6750,6558,4983,5642,5020,4756,62281,Little Italy,1336 W. Taylor St.,Chicago,0.0,4816.0,11303.0,11381.0,11304.0,11502.0,12663.0,12261.0,10363.0,12198.0,10555.0,9705.0,118051.0
142,Little Italy,1336 W. Taylor St.,Chicago,60607,1088,3975,6130,5485,5717,6177,6750,6558,4983,5642,5020,4756,62281,West Loop,122 N. Aberdeen St.,Chicago,3323.0,7748.0,7628.0,7529.0,6881.0,6892.0,7895.0,7753.0,6520.0,7804.0,7554.0,6442.0,83969.0
143,West Loop,122 N. Aberdeen St.,Chicago,60607,2620,5386,5732,4838,4830,4879,5720,5916,5124,5449,4789,4122,59405,Little Italy,1336 W. Taylor St.,Chicago,0.0,4816.0,11303.0,11381.0,11304.0,11502.0,12663.0,12261.0,10363.0,12198.0,10555.0,9705.0,118051.0
144,West Loop,122 N. Aberdeen St.,Chicago,60607,2620,5386,5732,4838,4830,4879,5720,5916,5124,5449,4789,4122,59405,West Loop,122 N. Aberdeen St.,Chicago,3323.0,7748.0,7628.0,7529.0,6881.0,6892.0,7895.0,7753.0,6520.0,7804.0,7554.0,6442.0,83969.0
145,Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655,4301,4637,4949,4624,4788,5486,6275,5271,4309,4748,4179,3483,57050,Mount Greenwood,11010 S. Kedzie Ave.,Chicago,4670.0,4966.0,4987.0,5070.0,5094.0,5670.0,6647.0,3999.0,2293.0,3048.0,2614.0,2217.0,51275.0
146,Near North,310 W. Division St.,Chicago,60610,8232,7589,8325,8367,8600,8953,9921,9653,8051,9220,7965,7350,102226,Near North,310 W. Division St.,Chicago,10281.0,11897.0,11311.0,10963.0,10209.0,11213.0,12401.0,11582.0,10023.0,11624.0,9205.0,9447.0,130156.0
147,North Austin,5724 W. North Ave.,Chicago,60639,997,821,735,995,959,1030,1308,1333,1161,1238,1014,875,12466,North Austin,5724 W. North Ave.,Chicago,3163.0,2591.0,2364.0,3658.0,3457.0,3369.0,4244.0,4556.0,3488.0,4209.0,3419.0,3439.0,41957.0
148,North Austin,5724 W. North Ave.,Chicago,60639,997,821,735,995,959,1030,1308,1333,1161,1238,1014,875,12466,North Pulaski,4300 W. North Ave.,Chicago,3324.0,4141.0,5013.0,3923.0,3875.0,3948.0,4404.0,5103.0,3372.0,4093.0,3590.0,2932.0,47718.0
149,North Pulaski,4300 W. North Ave.,Chicago,60639,2476,2106,2397,2677,2290,2076,2514,2514,2097,2314,2074,1695,27230,North Austin,5724 W. North Ave.,Chicago,3163.0,2591.0,2364.0,3658.0,3457.0,3369.0,4244.0,4556.0,3488.0,4209.0,3419.0,3439.0,41957.0
150,North Pulaski,4300 W. North Ave.,Chicago,60639,2476,2106,2397,2677,2290,2076,2514,2514,2097,2314,2074,1695,27230,North Pulaski,4300 W. North Ave.,Chicago,3324.0,4141.0,5013.0,3923.0,3875.0,3948.0,4404.0,5103.0,3372.0,4093.0,3590.0,2932.0,47718.0
151,Northtown,6800 N. Western Ave.,Chicago,60645,109,45,9413,10129,9740,11365,13998,12762,9765,11590,9017,9011,106944,Northtown,6800 N. Western Ave.,Chicago,0.0,0.0,8377.0,10287.0,10443.0,10928.0,13805.0,13024.0,10819.0,12803.0,10329.0,3418.0,104233.0
152,Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,5120,5265,6103,5583,5305,6012,6505,5992,4985,5501,4503,4334,65208,Oriole Park,7454 W. Balmoral Ave.,Chicago,6053.0,7235.0,7352.0,6842.0,6241.0,6540.0,7478.0,6484.0,7282.0,7216.0,6509.0,6597.0,81829.0
153,Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,6272,5363,6671,2688,0,1265,6023,5576,5101,4703,4909,4062,52633,Portage-Cragin,5108 W. Belmont Ave.,Chicago,5687.0,7332.0,7091.0,3696.0,0.0,722.0,6029.0,5739.0,4948.0,3960.0,5244.0,4353.0,54801.0
154,Pullman,11001 S. Indiana Ave.,Chicago,60628,1139,1072,1052,1013,1104,1155,976,1042,1067,1046,885,955,12506,Pullman,11001 S. Indiana Ave.,Chicago,3919.0,3820.0,4214.0,4370.0,3626.0,3985.0,4783.0,4638.0,4086.0,4430.0,3803.0,3696.0,49370.0
155,Pullman,11001 S. Indiana Ave.,Chicago,60628,1139,1072,1052,1013,1104,1155,976,1042,1067,1046,885,955,12506,Woodson Regional Library,9525 S. Halsted St.,Chicago,15153.0,21771.0,22059.0,18687.0,16703.0,17239.0,18549.0,16946.0,17550.0,19223.0,15232.0,15061.0,214173.0
156,Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,5061,5034,5524,5313,4683,5133,5103,4966,5118,5475,4667,3856,59933,Pullman,11001 S. Indiana Ave.,Chicago,3919.0,3820.0,4214.0,4370.0,3626.0,3985.0,4783.0,4638.0,4086.0,4430.0,3803.0,3696.0,49370.0
157,Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,5061,5034,5524,5313,4683,5133,5103,4966,5118,5475,4667,3856,59933,Woodson Regional Library,9525 S. Halsted St.,Chicago,15153.0,21771.0,22059.0,18687.0,16703.0,17239.0,18549.0,16946.0,17550.0,19223.0,15232.0,15061.0,214173.0
158,Roden,6083 N. Northwest Hwy.,Chicago,60631,5994,5749,6976,6455,5990,6697,7785,6981,5813,6196,5845,2444,72925,Roden,6083 N. Northwest Hwy.,Chicago,4319.0,11837.0,10835.0,6604.0,4550.0,5163.0,5669.0,5857.0,4441.0,5405.0,4277.0,1925.0,70882.0
159,Rogers Park,6907 N. Clark St.,Chicago,60626,10289,10039,10648,9532,8916,9357,10283,10171,8841,9068,8141,7680,112965,Rogers Park,6907 N. Clark St.,Chicago,14708.0,12762.0,11756.0,12728.0,12520.0,12630.0,14204.0,14437.0,11482.0,13277.0,11192.0,10366.0,152062.0
160,Scottsdale,4101 W. 79th St.,Chicago,60652,2062,1744,2184,2016,1875,1836,2038,1826,1530,1719,1689,1404,21923,Scottsdale,4101 W. 79th St.,Chicago,3407.0,3639.0,3388.0,4375.0,3744.0,3481.0,4237.0,3922.0,3503.0,4085.0,3692.0,3041.0,44514.0
161,Scottsdale,4101 W. 79th St.,Chicago,60652,2062,1744,2184,2016,1875,1836,2038,1826,1530,1719,1689,1404,21923,Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,3740.0,2742.0,3248.0,3925.0,3401.0,4020.0,4994.0,4567.0,4462.0,4802.0,3880.0,3572.0,47353.0
162,Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,1478,1322,1526,1440,1566,1675,1812,1631,1552,1475,1297,833,17607,Scottsdale,4101 W. 79th St.,Chicago,3407.0,3639.0,3388.0,4375.0,3744.0,3481.0,4237.0,3922.0,3503.0,4085.0,3692.0,3041.0,44514.0
163,Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,1478,1322,1526,1440,1566,1675,1812,1631,1552,1475,1297,833,17607,Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,3740.0,2742.0,3248.0,3925.0,3401.0,4020.0,4994.0,4567.0,4462.0,4802.0,3880.0,3572.0,47353.0
164,South Shore,2505 E. 73rd St.,Chicago,60649,2052,511,7,0,0,0,0,0,0,0,0,1,2571,South Shore,2505 E. 73rd St.,Chicago,5613.0,5077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10690.0
165,Uptown,929 W. Buena Ave.,Chicago,60613,4063,5991,7361,7704,7969,8542,9561,9434,7843,8226,7514,6661,90869,Uptown,929 W. Buena Ave.,Chicago,2827.0,8495.0,11025.0,11894.0,12081.0,11212.0,12847.0,12931.0,11159.0,12083.0,10504.0,9632.0,126690.0
166,Water Works,163 E. Pearson Street,Chicago,60611,4141,3801,4478,4515,4864,4964,5788,5799,5057,5194,5049,4308,57958,West Belmont,3104 N. Narragansett Ave.,Chicago,2099.0,6107.0,6601.0,6253.0,5345.0,5968.0,6061.0,5570.0,4909.0,5503.0,4104.0,3723.0,62243.0
167,West Belmont,3104 N. Narragansett Ave.,Chicago,60611,2334,4986,5554,6818,6454,7153,6601,6583,5137,5871,4561,3801,65853,West Belmont,3104 N. Narragansett Ave.,Chicago,2099.0,6107.0,6601.0,6253.0,5345.0,5968.0,6061.0,5570.0,4909.0,5503.0,4104.0,3723.0,62243.0
168,West Englewood,1745 W. 63rd St.,Chicago,60651,1053,940,1043,1095,1200,1100,1249,1469,1227,1181,1123,854,13534,West Englewood,1745 W. 63rd St.,Chicago,5708.0,5481.0,5904.0,5717.0,5555.0,5780.0,6270.0,6818.0,5744.0,6739.0,4684.0,4843.0,69243.0
169,West Lawn,4020 W. 63rd St.,Chicago,60636,2757,2631,2859,3038,2761,2807,3470,3049,2919,4307,3305,2479,36382,West Lawn,4020 W. 63rd St.,Chicago,4032.0,4603.0,4727.0,5068.0,5002.0,5173.0,5857.0,7376.0,5870.0,6832.0,5152.0,5267.0,64959.0
170,West Town,1625 W. Chicago Ave.,Chicago,60622,5076,4166,5454,5075,4659,5366,5756,5878,5001,4950,4511,3997,59889,West Town,1625 W. Chicago Ave.,Chicago,7861.0,7916.0,8861.0,8380.0,7901.0,7270.0,11701.0,9935.0,8172.0,9223.0,8235.0,7371.0,102826.0
171,Downloadable Media,,,,152141,136133,152785,145498,150737,148996,157917,163365,155047,160544,157606,160404,1841173,,,,,,,,,,,,,,,,
