,BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,LOCATION,Type,Year
35,Independence,4024 N. Elston Ave.,Chicago,60618,6652,7177,3946,0,0,3919,6265,5913,5559,5734,5356,5173,55694,POINT (-87.719889 41.954219),Circulation,2020
36,Lozano,1805 S. Loomis St.,Chicago,60608,3456,2838,1732,2,0,1142,2019,2201,2296,2186,1783,1881,21536,POINT (-87.661298 41.857604),Circulation,2020
37,South Shore,2505 E. 73rd St.,Chicago,60649,1,965,1088,0,0,643,851,876,977,1038,808,533,7780,POINT (-87.563672 41.762654),Circulation,2020
38,Chinatown,2100 S. Wentworth Ave.,Chicago,60616,6044,5774,3024,0,5,2783,3699,3788,3891,4285,3502,3539,40334,POINT (-87.631794 41.854267),Circulation,2020
39,Douglass,3353 W. 13th St.,Chicago,60623,1112,879,577,0,0,235,368,311,418,414,276,195,4785,POINT (-87.709792 41.864527),Circulation,2020
40,Logan Square,3030 W. Fullerton Ave.,Chicago,60647,11156,10359,7846,0,1,4824,9139,8789,7514,3,5421,6871,71923,POINT (-87.703483 41.924806),Circulation,2020
41,Roden,6083 N. Northwest Hwy.,Chicago,60631,1518,4675,4110,0,0,3236,4845,2779,3830,4345,4095,3821,37254,POINT (-87.798265 41.991862),Circulation,2020
42,Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707,732,628,345,0,0,0,0,0,0,0,0,0,1705,POINT (-87.79846800000001 41.921134),Circulation,2020
43,West Belmont,3104 N. Narragansett Ave.,Chicago,60634,4697,4840,4026,0,11,1249,2989,2957,3032,3390,3049,2782,33022,POINT (-87.785858 41.936833),Circulation,2020
44,Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,9696,9222,6361,0,0,4494,6914,7265,7067,9118,7314,7422,74873,POINT (-87.680298 41.912224),Circulation,2020
45,North Pulaski,4300 W. North Ave.,Chicago,60639,1733,1962,954,0,0,722,846,999,1102,1294,963,690,11265,POINT (-87.733923 41.909856),Circulation,2020
46,McKinley Park,1915 W. 35th St.,Chicago,60609,4750,4363,3334,0,0,2296,3279,2914,2705,2790,2562,2022,31015,POINT (-87.67345 41.830421),Circulation,2020
47,West Pullman,830 W. 119th St.,Chicago,60643,1449,1491,1083,0,0,344,678,790,842,739,703,649,8768,POINT (-87.64332700000001 41.677819),Circulation,2020
48,Beverly,1962 W. 95th St.,Chicago,60643,3746,3822,3017,0,0,1937,2928,2817,2940,2793,2824,2349,29173,POINT (-87.672288 41.721148),Circulation,2020
49,Legler Regional,115 S. Pulaski Rd.,Chicago,60624,0,0,0,0,0,0,0,0,0,1,23,221,245,POINT (-87.725593 41.879302),Circulation,2020
50,Toman,2708 S. Pulaski Rd.,Chicago,60623,4410,3785,3086,0,0,1239,2000,1602,1921,2100,1959,1679,23781,POINT (-87.724477 41.842073),Circulation,2020
51,Austin,5615 W. Race Ave.,Chicago,60644,1315,1235,809,0,0,452,730,920,944,782,639,566,8392,POINT (-87.766942 41.889281),Circulation,2020
52,Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,1313,1244,1016,0,0,512,764,674,760,947,645,721,8596,POINT (-87.70209 41.738313),Circulation,2020
53,Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,6161,5460,4235,0,2,3067,4073,3099,3574,4299,4109,3663,41742,POINT (-87.761964 41.967648),Circulation,2020
54,Mayfair,4400 W. Lawrence Ave.,Chicago,60630,2929,2892,2079,0,0,1547,2408,2419,2662,2654,2626,2230,24446,POINT (-87.738158 41.96815),Circulation,2020
55,South Chicago,9055 S. Houston Ave.,Chicago,60617,1667,1234,804,0,0,342,534,709,790,885,577,6,7548,POINT (-87.549849 41.730371),Circulation,2020
56,Clearing,6423 W. 63rd Pl.,Chicago,60638,2242,2139,1754,0,0,1109,1686,1626,1866,1686,1437,1407,16952,POINT (-87.782282 41.7768),Circulation,2020
57,Merlo,644 W. Belmont Ave.,Chicago,60657,0,0,0,0,0,36,5627,6722,7177,7703,7005,6881,41151,POINT (-87.646055 41.940054),Circulation,2020
58,Uptown,929 W. Buena Ave.,Chicago,60613,7877,7308,5655,0,0,4160,6301,5730,5915,6060,5055,5446,59507,POINT (-87.654217 41.95846),Circulation,2020
59,Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,2161,2506,1774,0,1,854,1321,1641,1278,1163,1271,1110,15080,POINT (-87.703231 41.781967),Circulation,2020
60,Harold Washington Library Center,400 S. State Street,Chicago,60605,48585,42078,31090,275,245,16445,22446,23210,24061,24382,23071,20990,276878,POINT (-87.627695 41.876301),Circulation,2020
61,Brighton Park,4314 S. Archer Ave.,Chicago,60632,3047,2830,2327,0,0,881,1610,1969,1859,1914,1373,1237,19047,POINT (-87.703067 41.814848),Circulation,2020
62,West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651,703,713,412,0,0,207,345,284,298,338,236,138,3674,POINT (-87.74730500000001 41.895019),Circulation,2020
63,Little Village,2311 S. Kedzie Ave.,Chicago,60623,2862,2444,1659,0,0,855,1144,1347,1602,1445,1132,1136,15626,POINT (-87.705179 41.849599),Circulation,2020
64,Lincoln Belmont,1659 W. Melrose St.,Chicago,60657,14013,13412,9198,0,12,7628,10263,9744,10462,11492,9859,9305,105388,POINT (-87.670434 41.940599),Circulation,2020
65,Gage Park,2807 W. 55th St.,Chicago,60632,1254,1233,727,0,0,0,0,0,0,0,0,0,3214,POINT (-87.694138 41.793722),Circulation,2020
66,Northtown,6800 N. Western Ave.,Chicago,60645,10481,9613,7569,19,0,6868,10675,10285,9867,10236,9692,9492,94797,POINT (-87.690175 42.00536),Circulation,2020
67,Dunning,7455 W. Cornelia Ave.,Chicago,60634,3769,3407,3017,0,0,2675,3465,3218,2786,2978,2817,2368,30500,POINT (-87.813899 41.94331),Circulation,2020
68,Bezazian,1226 W. Ainslie St.,Chicago,60640,8134,7405,5063,1,0,4028,6402,6339,6441,6726,5794,4218,60551,POINT (-87.66074 41.971414),Circulation,2020
69,West Loop,122 N. Aberdeen St.,Chicago,60607,5153,4618,2853,0,0,2238,3442,3858,3322,4115,3678,3434,36711,POINT (-87.654421 41.883595),Circulation,2020
70,Pullman,11001 S. Indiana Ave.,Chicago,60628,840,716,551,0,0,204,375,249,16,0,222,195,3368,POINT (-87.618295 41.694366),Circulation,2020
71,Jeffery Manor,2401 E. 100th St.,Chicago,60617,662,500,482,0,0,278,454,381,373,393,277,291,4091,POINT (-87.565489 41.713513),Circulation,2020
72,Hall,4801 S. Michigan Ave.,Chicago,60615,1249,1108,990,0,0,749,945,823,903,868,70,0,7705,POINT (-87.622776 41.807273),Circulation,2020
