,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,TYPE,YEAR,LAT,LNG
37,6151 S. Normal Blvd.,Chicago,60621,1048.0,730.0,711.0,847.0,906.0,1070.0,1235.0,1117.0,932.0,862.0,825.0,833.0,11116.0,Circulation,2019,41.776931,-87.638812
38,3436 S. King Dr.,Chicago,60616,1713.0,1464.0,1733.0,1679.0,1598.0,1813.0,1804.0,1703.0,1891.0,2171.0,1985.0,1757.0,21311.0,Circulation,2019,41.844869,-87.629531
39,115 S. Pulaski Rd.,Chicago,60624,769.0,767.0,701.0,723.0,1039.0,928.0,1240.0,1281.0,1045.0,79.0,0.0,0.0,8572.0,Circulation,2019,41.879417,-87.722735
40,1659 W. Melrose St.,Chicago,60657,11587.0,11718.0,15218.0,14150.0,13897.0,14997.0,16318.0,16522.0,13504.0,15803.0,13617.0,11315.0,168646.0,Circulation,2019,41.939715,-87.658216
41,1150 W. Fullerton Ave.,Chicago,60614,9826.0,9336.0,11605.0,10534.0,10314.0,11653.0,12704.0,12758.0,11161.0,12329.0,11050.0,10067.0,133337.0,Circulation,2019,41.922605,-87.652064
42,1336 W. Taylor St.,Chicago,60607,1088.0,3975.0,6130.0,5485.0,5717.0,6177.0,6750.0,6558.0,4983.0,5642.0,5020.0,4756.0,62281.0,Circulation,2019,41.876104,-87.652727
43,2311 S. Kedzie Ave.,Chicago,60623,2973.0,3106.0,3354.0,3732.0,3139.0,3348.0,3633.0,3547.0,3385.0,3790.0,2799.0,2474.0,39280.0,Circulation,2019,41.850321,-87.717446
44,3030 W. Fullerton Ave.,Chicago,60647,10828.0,9873.0,11488.0,10770.0,11114.0,10870.0,12661.0,12090.0,10834.0,11858.0,10353.0,9206.0,131945.0,Circulation,2019,41.921058,-87.701101
45,1805 S. Loomis St.,Chicago,60608,3781.0,3346.0,3974.0,3237.0,2960.0,3189.0,3781.0,4139.0,3516.0,3952.0,3273.0,2963.0,42111.0,Circulation,2019,41.849879,-87.670366
46,6 S. Hoyne Ave.,Chicago,60612,1730.0,1729.0,1758.0,1898.0,1716.0,1705.0,2130.0,2269.0,1877.0,2116.0,1800.0,1490.0,22218.0,Circulation,2019,41.88004,-87.687011
47,4400 W. Lawrence Ave.,Chicago,60630,4283.0,3826.0,4475.0,3935.0,3606.0,4006.0,4444.0,4403.0,3873.0,4068.0,3270.0,2713.0,46902.0,Circulation,2019,41.971261,-87.759611
48,1915 W. 35th St.,Chicago,60609,4477.0,4649.0,5101.0,5260.0,4593.0,4902.0,5079.0,5105.0,4969.0,5266.0,4521.0,3960.0,57882.0,Circulation,2019,41.812017,-87.653382
49,644 W. Belmont Ave.,Chicago,60657,8053.0,6583.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14637.0,Circulation,2019,41.939715,-87.658216
50,11010 S. Kedzie Ave.,Chicago,60655,4301.0,4637.0,4949.0,4624.0,4788.0,5486.0,6275.0,5271.0,4309.0,4748.0,4179.0,3483.0,57050.0,Circulation,2019,41.696456,-87.701434
51,310 W. Division St.,Chicago,60610,8232.0,7589.0,8325.0,8367.0,8600.0,8953.0,9921.0,9653.0,8051.0,9220.0,7965.0,7350.0,102226.0,Circulation,2019,41.90455,-87.63581
52,5724 W. North Ave.,Chicago,60639,997.0,821.0,735.0,995.0,959.0,1030.0,1308.0,1333.0,1161.0,1238.0,1014.0,875.0,12466.0,Circulation,2019,41.920609,-87.75531
53,4300 W. North Ave.,Chicago,60639,2476.0,2106.0,2397.0,2677.0,2290.0,2076.0,2514.0,2514.0,2097.0,2314.0,2074.0,1695.0,27230.0,Circulation,2019,41.920609,-87.75531
