,BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Location,Type,Year,LOCATION
127,McKinley Park,1915 W. 35th St.,Chicago,60609,368,2793,3784,3621,3409,3679,4062,4369,4553,4392,4310,3795,43135,,Visitors,2021,POINT (-87.673442 41.830421)
128,West Pullman,830 W. 119th St.,Chicago,60643,883,990,1872,1445,1490,1471,1645,1470,1203,1243,1098,1122,15932,,Visitors,2021,POINT (-87.643327 41.677819)
129,Beverly,1962 W. 95th St.,Chicago,60643,1709,1221,1741,2081,1761,1816,2350,2000,1994,2178,2368,2237,23456,,Visitors,2021,POINT (-87.672288 41.721148)
130,Legler Regional,115 S. Pulaski Rd.,Chicago,60624,477,359,424,629,650,1004,1326,1272,2427,2174,2179,2170,15091,,Visitors,2021,POINT (-87.725593 41.879302)
131,Toman,2708 S. Pulaski Rd.,Chicago,60623,1371,1155,1856,1554,1522,1842,1925,1662,1818,1645,1538,1675,19563,,Visitors,2021,POINT (-87.724477 41.842073)
132,Austin,5615 W. Race Ave.,Chicago,60644,2991,2412,3799,2957,2615,2946,2874,3083,2926,3171,3164,2383,35321,,Visitors,2021,POINT (-87.766942 41.889281)
133,Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,1417,0,0,734,908,1223,1435,1299,1279,1440,1316,1223,12274,,Visitors,2021,POINT (-87.702091 41.738331)
134,Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,2656,2338,3901,5630,4029,4227,4475,4328,3834,4061,4034,3429,46942,,Visitors,2021,POINT (-87.761964 41.967648)
135,Mayfair,4400 W. Lawrence Ave.,Chicago,60630,1302,1061,1682,1566,1533,1520,2795,2261,2105,2100,2194,1675,21794,,Visitors,2021,POINT (-87.738155 41.968148)
136,South Chicago,9055 S. Houston Ave.,Chicago,60617,768,1726,1866,2294,2737,2783,3409,3580,3375,2729,3142,2927,31336,,Visitors,2021,POINT (-87.549849 41.730371)
137,Clearing,6423 W. 63rd Pl.,Chicago,60638,440,380,1100,525,1535,0,455,1605,1515,1590,380,1152,10677,,Visitors,2021,POINT (-87.782282 41.7768)
138,Merlo,644 W. Belmont Ave.,Chicago,60657,4605,5611,6347,6577,7036,7657,7875,8351,8264,8694,7916,7274,86207,,Visitors,2021,POINT (-87.646055 41.940054)
139,Uptown,929 W. Buena Ave.,Chicago,60613,4948,3901,4675,5357,4901,5713,5877,6088,6197,6305,5801,5496,65259,,Visitors,2021,POINT (-87.654217 41.95846)
140,Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,2444,2207,3018,2960,3233,3605,4959,5416,4056,3890,3524,3557,42869,,Visitors,2021,POINT (-87.703231 41.781967)
141,Harold Washtington Library Center,400 S. State St.,Chicago,60605,39287,36109,43918,38621,24131,49671,52519,43215,52795,57025,54392,52268,543951,,Visitors,2021,POINT (-87.627695 41.876301)
142,Brighton Park,4314 S. Archer Ave.,Chicago,60632,1250,1004,1515,1418,1451,1481,2581,2499,320,0,1270,1427,16216,,Visitors,2021,POINT (-87.703067 41.814848)
143,West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651,330,490,667,618,692,693,786,887,1102,991,881,817,8954,,Visitors,2021,POINT (-87.747411 41.895019)
144,Little Village,2311 S. Kedzie Ave.,Chicago,60623,967,1030,1158,1058,1317,1154,1713,1670,1596,1724,1721,1463,16571,,Visitors,2021,POINT (-87.705179 41.849599)
145,Lincoln Belmont,1659 W. Melrose St.,Chicago,60657,2888,3225,5433,5369,6630,5374,9603,2192,6908,7098,6446,6001,67167,,Visitors,2021,POINT (-87.670433 41.940599)
146,Gage Park,2807 W. 55th St.,Chicago,60632,0,0,0,0,0,0,0,406,740,1308,1243,1122,4819,,Visitors,2021,POINT (-87.694138 41.793722)
147,Northtown,6800 N. Western Ave.,Chicago,60645,5957,5228,7482,6957,7333,8733,8909,9035,7797,7640,7640,6818,89529,,Visitors,2021,POINT (-87.690175 42.00536)
148,Dunning,7455 W. Cornelia Ave.,Chicago,60634,4240,3646,4945,5441,4854,5150,7909,8380,8512,6217,6054,5705,71053,,Visitors,2021,POINT (-87.813908 41.94331)
149,Bezazian,1226 W. Ainslie St.,Chicago,60640,0,0,1629,4587,3738,2300,3663,5547,5549,6515,5552,4581,43661,,Visitors,2021,POINT (-87.660739 41.971414)
150,West Loop,122 N. Aberdeen St.,Chicago,60607,2514,2322,2685,2823,2728,2675,3442,3423,3346,3629,3569,3237,36393,,Visitors,2021,POINT (-87.654421 41.883595)
151,Pullman,11001 S. Indiana Ave.,Chicago,60628,1558,1676,835,889,2124,2887,2906,2595,2456,2676,2329,2095,25026,,Visitors,2021,POINT (-87.618295 41.694366)
152,Jeffery Manor,2401 E. 100th St.,Chicago,60617,2002,1747,2367,2425,110,222,959,1192,991,941,882,789,14627,,Visitors,2021,POINT (-87.565489 41.713513)
153,Hall,4801 S. Michigan Ave.,Chicago,60615,0,704,1629,1662,2029,2478,2627,2660,2278,2800,2333,2128,23328,,Visitors,2021,POINT (-87.622776 41.807273)
