,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,TYPE,YEAR
33,6120 S. Kedzie Ave.,Chicago,60629,2521.0,2415.0,2883.0,3005.0,2712.0,2618.0,3362.0,3220.0,2381.0,4.0,1624.0,1901.0,28646.0,Visitors,2019
34,2100 S. Wentworth Ave.,Chicago,60616,8235.0,7775.0,9347.0,8221.0,8037.0,8501.0,8711.0,9063.0,7789.0,7748.0,7175.0,6707.0,97309.0,Circulation,2019
35,2100 S. Wentworth Ave.,Chicago,60616,8235.0,7775.0,9347.0,8221.0,8037.0,8501.0,8711.0,9063.0,7789.0,7748.0,7175.0,6707.0,97309.0,Visitors,2019
36,6423 W. 63rd Pl.,Chicago,60638,2534.0,2530.0,2557.0,2565.0,2800.0,2628.0,3158.0,3106.0,2594.0,588.0,958.0,1941.0,27959.0,Circulation,2019
37,6423 W. 63rd Pl.,Chicago,60638,2534.0,2530.0,2557.0,2565.0,2800.0,2628.0,3158.0,3106.0,2594.0,588.0,958.0,1941.0,27959.0,Visitors,2019
38,731 E. 63rd St.,Chicago,60637,2291.0,2446.0,2394.0,2464.0,2153.0,2517.0,2374.0,2244.0,26.0,1034.0,1675.0,1588.0,23206.0,Circulation,2019
39,731 E. 63rd St.,Chicago,60637,2291.0,2446.0,2394.0,2464.0,2153.0,2517.0,2374.0,2244.0,26.0,1034.0,1675.0,1588.0,23206.0,Visitors,2019
40,3400 S. Halsted St.,Chicago,60608,5280.0,4497.0,5730.0,5508.0,5332.0,5140.0,5897.0,5438.0,4696.0,5175.0,5016.0,3980.0,61689.0,Circulation,2019
41,3400 S. Halsted St.,Chicago,60608,5280.0,4497.0,5730.0,5508.0,5332.0,5140.0,5897.0,5438.0,4696.0,5175.0,5016.0,3980.0,61689.0,Visitors,2019
42,733 N. Kedzie Ave.,Chicago,60612,2492.0,2471.0,2734.0,2525.0,2348.0,2471.0,2453.0,2302.0,2753.0,3317.0,2655.0,2493.0,31014.0,Circulation,2019
43,733 N. Kedzie Ave.,Chicago,60612,2492.0,2471.0,2734.0,2525.0,2348.0,2471.0,2453.0,2302.0,2753.0,3317.0,2655.0,2493.0,31014.0,Visitors,2019
44,3353 W. 13th St.,Chicago,60623,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,423.0,821.0,1250.0,Circulation,2019
45,3353 W. 13th St.,Chicago,60623,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,423.0,821.0,1250.0,Visitors,2019
46,7455 W. Cornelia Ave.,Chicago,60634,4058.0,4305.0,4361.0,4329.0,3820.0,3835.0,4769.0,4348.0,4261.0,3534.0,3443.0,3183.0,48246.0,Circulation,2019
47,7455 W. Cornelia Ave.,Chicago,60634,4058.0,4305.0,4361.0,4329.0,3820.0,3835.0,4769.0,4348.0,4261.0,3534.0,3443.0,3183.0,48246.0,Visitors,2019
48,5331 W. Devon Ave.,Chicago,60646,8719.0,8489.0,9174.0,8587.0,8264.0,9335.0,10893.0,10515.0,8092.0,8733.0,7434.0,6568.0,104803.0,Circulation,2019
49,5331 W. Devon Ave.,Chicago,60646,8719.0,8489.0,9174.0,8587.0,8264.0,9335.0,10893.0,10515.0,8092.0,8733.0,7434.0,6568.0,104803.0,Visitors,2019
50,6000 N. Broadway St.,Chicago,60660,14294.0,13730.0,14560.0,14545.0,13342.0,14701.0,16253.0,16822.0,13737.0,14577.0,13183.0,11655.0,171399.0,Circulation,2019
51,6000 N. Broadway St.,Chicago,60660,14294.0,13730.0,14560.0,14545.0,13342.0,14701.0,16253.0,16822.0,13737.0,14577.0,13183.0,11655.0,171399.0,Visitors,2019
52,2807 W. 55th St.,Chicago,60632,1012.0,825.0,1048.0,1055.0,898.0,1082.0,1513.0,1140.0,1117.0,1950.0,1365.0,1097.0,14102.0,Circulation,2019
53,2807 W. 55th St.,Chicago,60632,1012.0,825.0,1048.0,1055.0,898.0,1082.0,1513.0,1140.0,1117.0,1950.0,1365.0,1097.0,14102.0,Visitors,2019
54,6871 W. Belden Ave.,Chicago,60707,749.0,640.0,856.0,760.0,783.0,826.0,856.0,741.0,923.0,816.0,649.0,557.0,9156.0,Circulation,2019
55,6871 W. Belden Ave.,Chicago,60707,749.0,640.0,856.0,760.0,783.0,826.0,856.0,741.0,923.0,816.0,649.0,557.0,9156.0,Visitors,2019
56,6348 S. Archer Ave.,Chicago,60638,4409.0,4318.0,4643.0,4517.0,4164.0,4622.0,5448.0,4765.0,3661.0,5170.0,4220.0,3250.0,53187.0,Circulation,2019
57,6348 S. Archer Ave.,Chicago,60638,4409.0,4318.0,4643.0,4517.0,4164.0,4622.0,5448.0,4765.0,3661.0,5170.0,4220.0,3250.0,53187.0,Visitors,2019
58,1000 E. 73rd St.,Chicago,60619,1087.0,1054.0,1424.0,1267.0,1409.0,1463.0,2066.0,1605.0,1984.0,1556.0,1220.0,1129.0,17264.0,Circulation,2019
59,1000 E. 73rd St.,Chicago,60619,1087.0,1054.0,1424.0,1267.0,1409.0,1463.0,2066.0,1605.0,1984.0,1556.0,1220.0,1129.0,17264.0,Visitors,2019
60,4801 S. Michigan Ave.,Chicago,60615,1075.0,1028.0,1323.0,1207.0,1138.0,1382.0,1690.0,1651.0,1837.0,1573.0,1150.0,1131.0,16185.0,Circulation,2019
61,4801 S. Michigan Ave.,Chicago,60615,1075.0,1028.0,1323.0,1207.0,1138.0,1382.0,1690.0,1651.0,1837.0,1573.0,1150.0,1131.0,16185.0,Visitors,2019
62,400 S. State Street,CHICAGO,60605,48072.0,46112.0,52568.0,49554.0,48041.0,47580.0,51624.0,52012.0,48078.0,50636.0,44604.0,42270.0,581151.0,Circulation,2019
63,400 S. State Street,CHICAGO,60605,48072.0,46112.0,52568.0,49554.0,48041.0,47580.0,51624.0,52012.0,48078.0,50636.0,44604.0,42270.0,581151.0,Visitors,2019
64,3048 E. 130th St.,Chicago,60633,1688.0,1573.0,1733.0,1509.0,1347.0,1566.0,1805.0,1495.0,1340.0,1840.0,1554.0,1602.0,19052.0,Circulation,2019
65,3048 E. 130th St.,Chicago,60633,1688.0,1573.0,1733.0,1509.0,1347.0,1566.0,1805.0,1495.0,1340.0,1840.0,1554.0,1602.0,19052.0,Visitors,2019
66,1605 N. Troy St.,Chicago,60647,5075.0,4464.0,5367.0,4966.0,4348.0,4526.0,5304.0,4890.0,4473.0,4897.0,4345.0,3914.0,56569.0,Circulation,2019
67,1605 N. Troy St.,Chicago,60647,5075.0,4464.0,5367.0,4966.0,4348.0,4526.0,5304.0,4890.0,4473.0,4897.0,4345.0,3914.0,56569.0,Visitors,2019
68,4024 N. Elston Ave.,Chicago,60618,2293.0,6993.0,8700.0,7706.0,6668.0,8554.0,9449.0,9876.0,7103.0,8396.0,7125.0,5592.0,88455.0,Circulation,2019
69,4024 N. Elston Ave.,Chicago,60618,2293.0,6993.0,8700.0,7706.0,6668.0,8554.0,9449.0,9876.0,7103.0,8396.0,7125.0,5592.0,88455.0,Visitors,2019
70,5363 W. Lawrence Ave.,Chicago,60630,4148.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2642.0,4913.0,11806.0,Circulation,2019
71,5363 W. Lawrence Ave.,Chicago,60630,4148.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2642.0,4913.0,11806.0,Visitors,2019
72,2401 E. 100th St.,Chicago,60617,632.0,603.0,632.0,659.0,503.0,649.0,791.0,951.0,927.0,1041.0,729.0,657.0,8774.0,Circulation,2019
73,2401 E. 100th St.,Chicago,60617,632.0,603.0,632.0,659.0,503.0,649.0,791.0,951.0,927.0,1041.0,729.0,657.0,8774.0,Visitors,2019
74,6151 S. Normal Blvd.,Chicago,60621,1048.0,730.0,711.0,847.0,906.0,1070.0,1235.0,1117.0,932.0,862.0,825.0,833.0,11116.0,Circulation,2019
