Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
12/13/2020,609,23,72,53,129,128,93,84,59,37,26,0,327,281,1,167,34,114,193,28,73,0,1,0,1,2,5,9,5,0,5,18,0,6,1,10,6,0,0,3,5,2,9,7,15,12,19,0,37,35,0,22,2,32,13,3,0
3/26/2020,413,2,132,2,65,74,78,96,53,36,9,0,181,232,0,82,14,201,98,10,8,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0,0,0,0,7,11,23,25,26,28,12,0,57,75,0,27,1,81,19,4,0
6/30/2021,51,0,6,11,12,10,9,3,3,3,0,0,20,31,0,15,2,12,15,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,1,5,0,1,0,5,0,0,0
9/17/2020,392,0,25,38,122,89,53,40,30,11,9,0,189,202,1,156,14,54,131,11,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,6,6,1,2,0,9,16,0,8,1,5,9,1,1
3/27/2020,404,8,154,4,43,61,86,103,49,36,22,0,212,192,0,74,12,219,74,10,15,0,0,0,1,1,3,3,0,0,3,5,0,2,0,4,2,0,0,2,4,9,27,40,34,20,18,0,77,77,0,17,6,113,14,3,1
7/25/2020,156,8,21,29,34,33,25,16,7,9,3,0,79,77,0,62,8,33,35,6,12,0,0,0,1,1,3,1,2,0,4,4,0,2,0,3,3,0,0,0,0,3,5,2,4,4,3,0,12,9,0,4,0,12,5,0,0
5/4/2020,1122,48,127,57,218,224,244,177,109,53,40,0,564,557,1,613,31,205,121,35,117,0,1,0,0,4,10,15,18,0,23,25,0,17,2,20,9,0,0,1,10,8,14,16,26,31,21,0,56,71,0,44,9,48,16,9,1
10/29/2021,370,2,18,80,65,72,67,37,29,14,6,0,183,186,1,73,24,75,108,51,39,0,0,0,0,1,1,0,0,0,0,2,0,1,0,1,0,0,0,0,2,0,2,3,5,5,1,0,7,11,0,5,0,8,3,2,0
11/5/2020,2639,6,115,289,764,579,388,313,186,70,50,0,1379,1251,9,1076,58,414,674,112,305,0,0,1,0,1,0,0,4,0,3,3,0,1,0,1,3,1,0,2,8,12,9,20,31,18,15,0,51,64,0,34,3,49,24,4,1
6/8/2021,74,4,15,21,17,12,8,6,7,2,1,0,44,30,0,24,3,31,8,3,5,0,0,0,0,1,1,2,0,0,1,3,0,2,0,1,1,0,0,1,1,3,0,2,4,2,2,0,9,6,0,6,2,5,2,0,0
5/10/2021,399,6,41,103,66,72,67,50,29,7,5,0,217,182,0,84,19,183,67,9,37,1,0,0,1,0,0,2,2,0,4,2,0,0,0,5,1,0,0,0,3,5,9,11,7,4,2,0,22,19,0,6,0,27,6,1,1
12/9/2020,1755,28,113,194,432,332,292,220,178,75,32,0,942,808,5,714,66,360,352,64,199,0,1,0,1,2,9,8,7,0,11,17,0,9,1,9,9,0,0,4,9,2,11,20,23,23,21,0,56,57,0,28,5,51,22,6,1
3/23/2020,290,3,101,4,46,55,53,56,30,35,11,0,141,149,0,41,12,135,77,13,12,1,1,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,1,4,15,12,17,17,25,10,0,48,53,0,16,5,64,11,4,1
